row,Track,Category,Level,Album,id,Anger,Fear,Happy,Sad,Tender,Gender,Age,Musicianship,Emotion,Tension,Energy,Valence
1545,45,Tender,Moderate,Oliver Twist,31,1,1,5,2,1,Female,24,1,Discrete,NA,NA,NA
1546,46,Tender,High,Batman,31,1,1,1,6,3,Female,24,1,Discrete,NA,NA,NA
1547,47,Tender,High,Oliver Twist,31,1,1,1,7,8,Female,24,1,Discrete,NA,NA,NA
1548,48,Tender,High,Dracula,31,1,1,8,1,4,Female,24,1,Discrete,NA,NA,NA
1549,49,Tender,High,Juha,31,1,1,8,1,7,Female,24,1,Discrete,NA,NA,NA
1550,50,Tender,High,Oliver Twist,31,1,3,1,7,1,Female,24,1,Discrete,NA,NA,NA
1551,1,Anger,Moderate,Lethal weapon 3,32,8,5,1,1,1,Female,27,2,Discrete,NA,NA,NA
1552,2,Anger,Moderate,The Rainmaker,32,9,9,1,1,1,Female,27,2,Discrete,NA,NA,NA
1553,3,Anger,Moderate,The Alien Trilogy,32,9,7,1,1,1,Female,27,2,Discrete,NA,NA,NA
1554,4,Anger,Moderate,Cape Fear,32,1,8,1,1,1,Female,27,2,Discrete,NA,NA,NA
1555,5,Anger,Moderate,The Fifth Element,32,8,5,1,1,1,Female,27,2,Discrete,NA,NA,NA
1556,6,Anger,High,Crouching Tiger ,32,7,2,1,1,1,Female,27,2,Discrete,NA,NA,NA
1557,7,Anger,High,Batman Returns,32,7,2,1,1,1,Female,27,2,Discrete,NA,NA,NA
1558,8,Anger,High,Man of Galilee CD1,32,6,3,1,8,1,Female,27,2,Discrete,NA,NA,NA
1559,9,Anger,High,The Untouchables,32,7,2,1,1,1,Female,27,2,Discrete,NA,NA,NA
1560,10,Anger,High,Oliver Twist,32,8,8,1,1,1,Female,27,2,Discrete,NA,NA,NA
1561,11,Fear,Moderate,Batman Returns,32,1,9,1,1,1,Female,27,2,Discrete,NA,NA,NA
1562,12,Fear,Moderate,JFK,32,3,6,1,1,1,Female,27,2,Discrete,NA,NA,NA
